id,url,phenotype
PGS002724,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002724/ScoringFiles/Harmonized/PGS002724_hmPOS_GRCh38.txt.gz,Ischemic Stroke
PGS000039,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000039/ScoringFiles/Harmonized/PGS000039_hmPOS_GRCh38.txt.gz,Ischemic Stroke
